place,movie_title,rating,year,star_cast
21,Shichinin no samurai,8.597544403674323,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
22,The Silence of the Lambs,8.588376882909715,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579917658432406,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.57929433426891,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.5733323985754,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,La vita è bella,8.568781259628812,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563898071978,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.547413125840096,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.538347721256711,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517949635773837,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.51591499138928,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.507987686272616,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.50622213829441,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Gisaengchung,8.500430718278322,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.49199984483406,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.487636959683137,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.48738533331842,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481137045734231,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.47635141731314,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,Whiplash,8.46959145074542,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
41,The Prestige,8.469320649768427,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,The Usual Suspects,8.468483170928119,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.460984828491029,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Hotaru no haka,8.456789615470434,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Seppuku,8.456461128273462,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,The Intouchables,8.452990077669185,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.446444358629964,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.439747289088968,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Nuovo Cinema Paradiso,8.435795452251721,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Rear Window,8.43510699676262,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.433161484961476,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.431557266834231,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.42257550055547,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.41860986363934,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.409614342661122,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.40566025407933,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.395602835532328,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.383440784095553,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.3786074864372,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371523840393053,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.36468510105223,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.363564660027537,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.362166934436376,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359322971242575,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.34277760234686,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.339556889638574,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.329068514695313,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.326603215078997,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.32596134116061,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldeuboi,8.319918091055415,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Inglourious Basterds,8.319399602631385,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
72,Amadeus,8.316258826170582,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Coco,8.315175279973356,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.314054073670917,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Braveheart,8.312513469038736,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,Joker,8.312127340879996,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
77,Das Boot,8.311458864977801,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.303515922256008,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.303011356652753,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.294332260803131,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Good Will Hunting,8.29353046016743,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Kimi no na wa,8.28387715954962,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
83,Singin' in the Rain,8.27531941998155,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,3 Idiots,8.274697112605818,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem for a Dream,8.273313608507484,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,Tengoku to jigoku,8.272620239576723,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.270041137381504,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Capharnaüm,8.26774626782974,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Star Wars: Episode VI - Return of the Jedi,8.26402278146076,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: A Space Odyssey,8.261406288523965,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.261123238660574,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Idi i smotri,8.259653261860006,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,Reservoir Dogs,8.258053468414078,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Jagten,8.25722151527176,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Citizen Kane,8.249168365079543,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Lawrence of Arabia,8.248909534296075,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
97,M - Eine Stadt sucht einen Mörder,8.248308905132415,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,Ikiru,8.24525766570658,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
99,North by Northwest,8.245022405295913,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10, Vertigo,8.242338021414358,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,The Apartment,8.241757615411014,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Le fabuleux destin d'Amélie Poulain,8.240355474293578,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,Double Indemnity,8.237942479729579,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,A Clockwork Orange,8.237401295384647,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
105,Full Metal Jacket,8.236546927593137,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Scarface,8.23490632735227,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Hamilton,8.230358345498988,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Incendies,8.22722609517423,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
109,Heat,8.226030970034662,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
110,To Kill a Mockingbird,8.225420086328004,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Up,8.224829427135823,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
112,The Sting,8.224545429976766,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Jodaeiye Nader az Simin,8.221215414782092,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Metropolis,8.220825453556984,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,Taxi Driver,8.218113238645335,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
116,LA Confidential,8.218055864122348,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Die Hard,8.217438603396012,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Indiana Jones and the Last Crusade,8.216548351215186,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
119,Snatch,8.21654632272941,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Ladri di biciclette,8.215280928931195,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Taare Zameen Par,8.21206741470213,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
122,1917,8.21106339682286,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Top Gun: Maverick,8.210774206399481,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
124,Der Untergang,8.203073900375218,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Dangal,8.19927994495432,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
126,Per qualche dollaro in più,8.198763543969276,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.19686787848114,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.19053838377574,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.190097170165531,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.18199570155713,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.179885382191266,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.178596908402072,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.177777781356523,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
134,Judgment at Nuremberg,8.17131214441484,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.164376618084543,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.16396259001087,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,The Truman Show,8.162159661788026,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
138,There Will Be Blood,8.160981489554631,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
139,Pan's Labyrinth,8.160038497495103,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,Unforgiven,8.158152710387622,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
141,The Sixth Sense,8.15483443901762,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,Shutter Island,8.154193622916006,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
143,A Beautiful Mind,8.150598368725325,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Jurassic Park,8.149943867332935,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
145,Yôjinbô,8.147123709840827,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.146945761647714,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Monty Python and the Holy Grail,8.144811409495647,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
148,No Country for Old Men,8.14058729332194,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
149,The Great Escape,8.1392961721681,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Kill Bill: Vol 1,8.139211909497861,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,Rashômon,8.137234933608266,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
152,The Thing,8.134578887752923,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
153,Spider-Man: No Way Home,8.132192651421304,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
154,Finding Nemo,8.131227744800775,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,The Elephant Man,8.126478885639909,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Chinatown,8.12506390911494,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157,Raging Bull,8.122342852270474,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,V for Vendetta,8.122054786354294,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
159,Gone with the Wind,8.121278610174791,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
160,"Lock, Stock and Two Smoking Barrels",8.119764136244163,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
161,Dial M for Murder,8.119461747826369,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,Inside Out,8.119196478704648,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
163,El secreto de sus ojos,8.117867419245957,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.117690737190989,2004,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura"
165,John Wick: Chapter 4,8.112141644567417,2023,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
166,"Three Billboards Outside Ebbing, Missouri",8.111236883846194,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.110157583522867,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,The Bridge on the River Kwai,8.109947590293752,1957,"David Lean (dir.), William Holden, Alec Guinness"
169,Prisoners,8.107630937688503,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
170,Warrior,8.102304761714015,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
171,Fargo,8.102286423598551,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
172,Gran Torino,8.099899170528998,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
173,Catch Me If You Can,8.091953449676282,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
174,Tonari no Totoro,8.0917816468525,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
175,Million Dollar Baby,8.088434602076186,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
176,Bacheha-Ye aseman,8.086375126954215,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
177,Blade Runner,8.084585741537307,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
178,The Gold Rush,8.084128413092463,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
179,Klaus,8.08249310376245,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
180,Harry Potter and the Deathly Hallows: Part 2,8.08121449130645,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,Before Sunrise,8.081031849213607,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
182,12 Years a Slave,8.08044113761622,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,Ben-Hur,8.078715213330076,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
184,On the Waterfront,8.0782015698153,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
185,The Grand Budapest Hotel,8.077808035770394,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
186,Gone Girl,8.07708953699303,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
187,Smultronstället,8.075251829661648,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
188,The General,8.074646046547768,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
189,Barry Lyndon,8.073958049006977,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
190,In the Name of the Father,8.073458250871113,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
191,The Deer Hunter,8.07305501345298,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
192,The Third Man,8.071996911774802,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
193,Hacksaw Ridge,8.071448487313644,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
194,Le salaire de la peur,8.069515118314174,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
195,Salinui chueok,8.069242804432944,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Relatos salvajes,8.067433856810254,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
197,Sherlock Jr,8.067340300025386,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
198,Mr Smith Goes to Washington,8.066060409112605,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
199,Mad Max: Fury Road,8.06367982822123,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
200,Mary and Max,8.062506639993169,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
201,Det sjunde inseglet,8.061714585712021,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
202,How to Train Your Dragon,8.06136825349321,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,"Monsters, Inc",8.060877092099945,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
204,Dead Poets Society,8.060477137757303,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
205,Jaws,8.059957977356936,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
206,Room,8.059292544153228,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
207,The Big Lebowski,8.057741960022184,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
208,Tôkyô monogatari,8.05530656020718,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
209,La passion de Jeanne d'Arc,8.051443263966366,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
210,Ford v Ferrari,8.05009867042321,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,Hotel Rwanda,8.04827770191775,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
212,Rocky,8.046682767103196,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
213,Platoon,8.043970182166303,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
214,Ratatouille,8.04353576203267,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
215,Spotlight,8.041040375778595,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
216,Logan,8.040586410959971,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,The Terminator,8.040184240730952,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
218,Stand by Me,8.036474035633088,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
219,Rush,8.035045956073654,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
220,Network,8.034240322539892,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Before Sunset,8.03289408760348,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
222,Into the Wild,8.030962243909613,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
223,The Wizard of Oz,8.030154442916146,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,The Best Years of Our Lives,8.028466361985638,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
225,Groundhog Day,8.02669599617684,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
226,The Exorcist,8.026609884025063,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,The Incredibles,8.02499453962543,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
228,La haine,8.024328092852901,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
229,To Be or Not to Be,8.024004666995408,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,Pirates of the Caribbean: The Curse of the Black Pearl,8.023535756824026,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
231,Pather Panchali,8.023349628785,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
232,Hachi: A Dog's Tale,8.02220490225889,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.02200783602406,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,La battaglia di Algeri,8.02158361378919,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
235,Jai Bhim,8.021091050607431,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
236,Babam ve Oglum,8.02018973914788,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
237,Amores perros,8.01946236549552,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
238,Rebecca,8.01864939711072,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
239,Cool Hand Luke,8.017824926258093,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240,Ah-ga-ssi,8.017606565229073,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
241,The Sound of Music,8.013431990386163,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
242,Les quatre cents coups,8.013270137306229,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
243,It Happened One Night,8.01258370643642,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,Persona,8.01075831985757,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
245,Life of Brian,8.008852318120992,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246,The Iron Giant,8.006130201534289,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
247,The Help,8.005687958303934,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
248,Aladdin,8.003740059591323,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
249,Dersu Uzala,8.003204407118897,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
250,Dances with Wolves,8.001456597236617,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
